,Model No.,genome,Parameters,Training Accuracy,Validation Accuracy,Test Accuracy
0,1,RC 52 2 sigmoid; NC 28 2 swish ;RC 52 2 sigmoid ;NC 28 2 swish ;FL relu,20346.0,0.8255416750907898,0.8328333497047424,0.828000009059906
1,2,RC 16 2 tanh; NC 96 2 sigmoid ;RC 16 2 tanh ;NC 96 2 sigmoid ;FL sigmoid,25578.0,0.7875000238418579,0.8010833263397217,0.7925000190734863
2,3,RC 76 2 sigmoid; NC 16 2 tanh ;RC 76 2 sigmoid ;NC 16 2 tanh ;FL relu,16818.0,0.8108124732971191,0.8148333430290222,0.7903000116348267
3,4,RC 96 2 tanh; NC 72 2 swish ;RC 96 2 tanh ;NC 72 2 swish ;FL sigmoid,88986.0,0.8808333277702332,0.871833324432373,0.857200026512146
4,5,RC 24 2 gelu; NC 100 2 sigmoid ;RC 24 2 gelu ;NC 100 2 sigmoid ;FL tanh,36258.0,0.8325625061988831,0.831250011920929,0.8309000134468079
5,6,RC 40 2 swish; NC 32 2 sigmoid ;RC 40 2 swish ;NC 32 2 sigmoid ;FL tanh,18426.0,0.8153333067893982,0.8081666827201843,0.8012999892234802
6,7,RC 124 2 gelu; NC 84 2 swish ;RC 124 2 gelu ;NC 84 2 swish ;FL sigmoid,131994.0,0.8992916941642761,0.890666663646698,0.8848000168800354
7,8,RC 124 2 tanh; NC 112 2 tanh ;RC 124 2 tanh ;NC 112 2 tanh ;FL sigmoid,175506.0,0.8953750133514404,0.8820000290870667,0.8718000054359436
8,9,RC 88 2 gelu; NC 40 2 swish ;RC 88 2 gelu ;NC 40 2 swish ;FL swish,46122.0,0.8888333439826965,0.8840833306312561,0.8809000253677368
9,10,RC 40 2 tanh; NC 124 2 tanh ;RC 40 2 tanh ;NC 124 2 tanh ;FL sigmoid,68658.0,0.8802291750907898,0.8766666650772095,0.8651999831199646
10,11,RC 124 2 gelu; NC 72 2 gelu ;RC 124 2 gelu ;NC 72 2 gelu ;FL sigmoid,113346.0,0.8974375128746033,0.8967499732971191,0.8873000144958496
11,12,RC 12 2 tanh; NC 108 2 sigmoid ;RC 12 2 tanh ;NC 108 2 sigmoid ;FL tanh,23466.0,0.8022500276565552,0.796583354473114,0.7849000096321106
12,13,RC 48 2 sigmoid; NC 120 2 swish ;RC 48 2 sigmoid ;NC 120 2 swish ;FL relu,78042.0,0.8507500290870667,0.8523333072662354,0.8460999727249146
13,14,RC 20 2 swish; NC 32 2 sigmoid ;RC 20 2 swish ;NC 32 2 sigmoid ;FL relu,10626.0,0.7907083630561829,0.7950833439826965,0.7896000146865845
14,15,RC 124 2 tanh; NC 92 2 gelu ;RC 124 2 tanh ;NC 92 2 gelu ;FL swish,144426.0,0.9003750085830688,0.8948333263397217,0.892300009727478
15,16,RC 108 2 gelu; NC 40 2 gelu ;RC 108 2 gelu ;NC 40 2 gelu ;FL swish,55842.0,0.8931458592414856,0.8933333158493042,0.8914999961853027
16,17,RC 36 2 tanh; NC 88 2 relu ;RC 36 2 tanh ;NC 88 2 relu ;FL gelu,44754.0,0.8836458325386047,0.8762500286102295,0.8744000196456909
17,18,RC 76 2 relu; NC 64 2 tanh ;RC 76 2 relu ;NC 64 2 tanh ;FL gelu,63762.0,0.8890625238418579,0.8855833411216736,0.8822000026702881
18,19,RC 84 2 gelu; NC 72 2 gelu ;RC 84 2 gelu ;NC 72 2 gelu ;FL sigmoid,78546.0,0.8849166631698608,0.8774999976158142,0.8734999895095825
19,20,RC 36 2 sigmoid; NC 28 2 tanh ;RC 36 2 sigmoid ;NC 28 2 tanh ;FL sigmoid,14874.0,0.8062499761581421,0.8171666860580444,0.8097000122070312
20,21,RC 48 2 relu; NC 92 2 tanh ;RC 48 2 relu ;NC 92 2 tanh ;FL relu,60066.0,0.8877500295639038,0.887416660785675,0.8885999917984009
21,22,RC 108 2 sigmoid; NC 28 2 relu ;RC 108 2 sigmoid ;NC 28 2 relu ;FL sigmoid,39498.0,0.8103333115577698,0.8050000071525574,0.7985000014305115
22,23,RC 60 2 relu; NC 44 2 sigmoid ;RC 60 2 relu ;NC 44 2 sigmoid ;FL tanh,35658.0,0.8230000138282776,0.8295833468437195,0.8203999996185303
23,24,RC 16 2 gelu; NC 108 2 gelu ;RC 16 2 gelu ;NC 108 2 gelu ;FL sigmoid,28674.0,0.8558124899864197,0.8572499752044678,0.8474000096321106
24,25,RC 44 2 gelu; NC 76 2 swish ;RC 44 2 gelu ;NC 76 2 swish ;FL relu,46122.0,0.8941666483879089,0.8892499804496765,0.8676999807357788
25,26,RC 120 2 gelu; NC 56 2 sigmoid ;RC 120 2 gelu ;NC 56 2 sigmoid ;FL relu,85770.0,0.8596458435058594,0.8649166822433472,0.8582000136375427
26,27,RC 56 2 gelu; NC 12 2 tanh ;RC 56 2 gelu ;NC 12 2 tanh ;FL relu,9906.0,0.8542083501815796,0.8449166417121887,0.8450000286102295
27,28,RC 68 2 tanh; NC 108 2 swish ;RC 68 2 tanh ;NC 108 2 swish ;FL gelu,96378.0,0.8982083201408386,0.8872500061988831,0.8812999725341797
28,29,RC 112 2 swish; NC 112 2 gelu ;RC 112 2 swish ;NC 112 2 gelu ;FL sigmoid,159306.0,0.9035624861717224,0.8927500247955322,0.8790000081062317
29,30,RC 36 2 swish; NC 8 2 sigmoid ;RC 36 2 swish ;NC 8 2 sigmoid ;FL tanh,4914.0,0.7599999904632568,0.7680833339691162,0.7526000142097473
30,31,RC 124 2 tanh; NC 88 2 gelu ;RC 124 2 tanh ;NC 88 2 gelu ;FL swish,138210.0,0.9046875238418579,0.8969166874885559,0.8971999883651733
31,32,RC 84 2 relu; NC 76 2 tanh ;RC 84 2 relu ;NC 76 2 tanh ;FL swish,82842.0,0.8923125267028809,0.8815833330154419,0.8715000152587891
32,33,RC 8 2 sigmoid; NC 20 2 swish ;RC 8 2 sigmoid ;NC 20 2 swish ;FL swish,4002.0,0.7416666746139526,0.7488333582878113,0.7400000095367432
33,34,RC 48 2 relu; NC 48 2 swish ;RC 48 2 relu ;NC 48 2 swish ;FL gelu,31818.0,0.8871250152587891,0.8823333382606506,0.8687999844551086
34,35,RC 32 2 gelu; NC 60 2 gelu ;RC 32 2 gelu ;NC 60 2 gelu ;FL sigmoid,27906.0,0.8676249980926514,0.8615000247955322,0.8557000160217285
35,36,RC 100 2 swish; NC 96 2 gelu ;RC 100 2 swish ;NC 96 2 gelu ;FL gelu,122850.0,0.9129999876022339,0.8973333239555359,0.8867999911308289
36,37,RC 108 2 swish; NC 112 2 tanh ;RC 108 2 swish ;NC 112 2 tanh ;FL swish,153906.0,0.8931041955947876,0.8911666870117188,0.8851000070571899
37,38,RC 52 2 sigmoid; NC 48 2 swish ;RC 52 2 sigmoid ;NC 48 2 swish ;FL gelu,34146.0,0.8378124833106995,0.8379999995231628,0.8342000246047974
38,39,RC 36 2 sigmoid; NC 24 2 swish ;RC 36 2 sigmoid ;NC 24 2 swish ;FL gelu,12882.0,0.8174166679382324,0.8217499852180481,0.8169999718666077
