,Model No.,genome,Parameters,Training Accuracy,Validation Accuracy,Test Accuracy
0,1,RC 20 2 swish; NC 44 2 gelu ;RC 20 2 swish ;NC 44 2 gelu ;FL relu,14298.0,0.8633958101272583,0.8682500123977661,0.8654999732971191
1,2,RC 36 2 tanh; NC 76 2 gelu ;RC 36 2 tanh ;NC 76 2 gelu ;FL swish,38778.0,0.8842499852180481,0.878000020980835,0.8708999752998352
2,3,RC 68 2 relu; NC 88 2 swish ;RC 68 2 relu ;NC 88 2 swish ;FL gelu,78738.0,0.906125009059906,0.8968333601951599,0.8849999904632568
3,4,RC 64 2 swish; NC 12 2 tanh ;RC 64 2 swish ;NC 12 2 tanh ;FL relu,11106.0,0.8563958406448364,0.8550000190734863,0.8499000072479248
4,5,RC 56 2 relu; NC 120 2 relu ;RC 56 2 relu ;NC 120 2 relu ;FL gelu,89610.0,0.9039999842643738,0.8932499885559082,0.8920999765396118
5,6,RC 12 2 swish; NC 44 2 gelu ;RC 12 2 swish ;NC 44 2 gelu ;FL sigmoid,10026.0,0.8299791812896729,0.8333333134651184,0.8253999948501587
6,7,RC 100 2 swish; NC 64 2 tanh ;RC 100 2 swish ;NC 64 2 tanh ;FL relu,82338.0,0.8917916417121887,0.8901666402816772,0.883400022983551
7,8,RC 100 2 gelu; NC 52 2 sigmoid ;RC 100 2 gelu ;NC 52 2 sigmoid ;FL gelu,67146.0,0.8506458401679993,0.8504166603088379,0.842199981212616
8,9,RC 116 2 tanh; NC 108 2 sigmoid ;RC 116 2 tanh ;NC 108 2 sigmoid ;FL relu,158874.0,0.8535208106040955,0.8484166860580444,0.8395000100135803
9,10,RC 4 2 tanh; NC 12 2 sigmoid ;RC 4 2 tanh ;NC 12 2 sigmoid ;FL sigmoid,2106.0,0.5648333430290222,0.5699999928474426,0.5479999780654907
10,11,RC 36 2 relu; NC 108 2 swish ;RC 36 2 relu ;NC 108 2 swish ;FL relu,54714.0,0.8984375,0.8916666507720947,0.8913999795913696
11,12,RC 32 2 gelu; NC 68 2 relu ;RC 32 2 gelu ;NC 68 2 relu ;FL swish,31506.0,0.8831250071525574,0.8806666731834412,0.8781999945640564
12,13,RC 64 2 tanh; NC 12 2 relu ;RC 64 2 tanh ;NC 12 2 relu ;FL swish,11106.0,0.8433333039283752,0.8455833196640015,0.8393999934196472
13,14,RC 52 2 relu; NC 84 2 relu ;RC 52 2 relu ;NC 84 2 relu ;FL gelu,58986.0,0.8987083435058594,0.8933333158493042,0.8855999708175659
